split,featureset,cycle,confA,confB,n_estimators,max_features,max_depth,max_samples,criterion
class,f2f,11,swc_gpw,ggt_mdd,200,9,22,0.952,gini
instance,f2f,11,gpw_gpw,gpw_tree,200,9,20,0.242,entropy
instance,f2f,11,gpw_gpw,tree_gpw,200,5,13,0.384,entropy
instance,f2f,11,gpw_gpw,swc_gpw,200,7,27,0.1,entropy
instance,f2f,11,gpw_gpw,gpw_swc,200,7,27,0.81,entropy
instance,f2f,11,gpw_tree,tree_gpw,200,6,5,0.147,entropy
instance,f2f,11,gpw_tree,swc_gpw,200,7,18,0.337,gini
instance,f2f,11,gpw_tree,gpw_swc,200,9,13,0.242,gini
instance,f2f,11,tree_gpw,swc_gpw,200,9,28,0.1,entropy
instance,f2f,11,tree_gpw,gpw_swc,200,4,31,0.337,gini
instance,f2f,11,swc_gpw,gpw_swc,200,4,3,0.479,gini
class,f2fsr,11,gpw_tree,gpw_gpw,200,6,5,0.147,entropy
class,f2fsr,11,gpw_tree,tree_gpw,200,4,3,0.479,gini
class,f2fsr,11,gpw_tree,swc_gpw,200,4,39,0.526,gini
class,f2fsr,11,gpw_tree,ggt_mdd,200,4,15,0.1,entropy
class,f2fsr,11,gpw_gpw,tree_gpw,200,6,38,0.952,gini
class,f2fsr,11,gpw_gpw,swc_gpw,200,9,6,0.337,gini
class,f2fsr,11,gpw_gpw,ggt_mdd,200,6,5,0.147,entropy
class,f2fsr,11,tree_gpw,swc_gpw,200,9,20,0.242,entropy
class,f2fsr,11,tree_gpw,ggt_mdd,200,4,12,0.384,entropy
class,f2fsr,11,swc_gpw,ggt_mdd,200,5,13,0.384,entropy
instance,f2fsr,11,gpw_gpw,gpw_tree,200,5,26,0.479,gini
instance,f2fsr,11,gpw_gpw,tree_gpw,200,9,20,0.242,entropy
instance,f2fsr,11,gpw_gpw,swc_gpw,200,7,11,0.431,entropy
instance,f2fsr,11,gpw_gpw,gpw_swc,200,5,22,0.573,gini
instance,f2fsr,11,gpw_tree,tree_gpw,200,4,3,0.479,gini
instance,f2fsr,11,gpw_tree,swc_gpw,200,9,30,0.431,gini
instance,f2fsr,11,gpw_tree,gpw_swc,200,7,27,0.1,entropy
instance,f2fsr,11,tree_gpw,swc_gpw,200,4,15,0.1,entropy
instance,f2fsr,11,tree_gpw,gpw_swc,200,7,27,0.1,entropy
instance,f2fsr,11,swc_gpw,gpw_swc,200,9,30,0.573,gini
class,sumpb,11,gpw_tree,gpw_gpw,200,4,15,0.1,entropy
class,sumpb,11,gpw_tree,tree_gpw,200,6,38,0.952,gini
class,sumpb,11,gpw_tree,swc_gpw,200,6,3,0.952,gini
class,sumpb,11,gpw_tree,ggt_mdd,200,9,32,0.195,entropy
class,sumpb,11,gpw_gpw,tree_gpw,200,8,22,0.952,gini
class,sumpb,11,gpw_gpw,swc_gpw,200,5,13,0.384,entropy
class,sumpb,11,gpw_gpw,ggt_mdd,200,4,15,0.1,entropy
class,sumpb,11,tree_gpw,swc_gpw,200,8,28,0.1,entropy
class,sumpb,11,tree_gpw,ggt_mdd,200,8,28,0.1,entropy
class,sumpb,11,swc_gpw,ggt_mdd,200,9,20,0.242,entropy
instance,sumpb,11,gpw_gpw,gpw_tree,200,7,27,0.1,entropy
instance,sumpb,11,gpw_gpw,tree_gpw,200,6,18,0.857,gini
instance,sumpb,11,gpw_gpw,swc_gpw,200,6,38,0.952,gini
instance,sumpb,11,gpw_gpw,gpw_swc,200,5,13,0.384,entropy
instance,sumpb,11,gpw_tree,tree_gpw,200,7,27,0.1,entropy
instance,sumpb,11,gpw_tree,swc_gpw,200,4,3,0.479,gini
instance,sumpb,11,gpw_tree,gpw_swc,200,6,3,0.952,gini
instance,sumpb,11,tree_gpw,swc_gpw,200,4,15,0.1,entropy
instance,sumpb,11,tree_gpw,gpw_swc,200,7,27,0.1,entropy
instance,sumpb,11,swc_gpw,gpw_swc,200,6,3,0.952,gini
class,combi,12,gpw_tree,tree_gpw,200,5,29,0.1,gini
class,combi,12,gpw_tree,gpw_gpw,200,5,5,0.242,entropy
class,combi,12,gpw_tree,mdd_tree,200,13,18,0.195,entropy
class,combi,12,gpw_tree,swc_swc,200,7,2,0.762,gini
class,combi,12,tree_gpw,gpw_gpw,200,10,3,0.952,gini
class,combi,12,tree_gpw,mdd_tree,200,7,13,0.904,gini
class,combi,12,tree_gpw,swc_swc,200,8,2,0.857,entropy
class,combi,12,gpw_gpw,mdd_tree,200,9,38,0.431,gini
class,combi,12,gpw_gpw,swc_swc,200,7,2,0.762,gini
class,combi,12,mdd_tree,swc_swc,200,7,2,0.81,gini
instance,combi,12,swc_gpw,gpw_tree,200,7,2,0.81,gini
instance,combi,12,swc_gpw,tree_gpw,200,7,37,0.147,entropy
instance,combi,12,swc_gpw,gpw_gpw,200,8,2,0.857,entropy
instance,combi,12,swc_gpw,ggt_mdd,200,9,38,0.431,gini
instance,combi,12,gpw_tree,tree_gpw,200,5,29,0.1,gini
instance,combi,12,gpw_tree,gpw_gpw,200,6,14,0.147,gini
instance,combi,12,gpw_tree,ggt_mdd,200,8,2,0.857,entropy
instance,combi,12,tree_gpw,gpw_gpw,200,8,2,0.857,entropy
instance,combi,12,tree_gpw,ggt_mdd,200,6,14,0.147,gini
instance,combi,12,gpw_gpw,ggt_mdd,200,11,19,0.81,entropy
class,f2f,12,gpw_tree,tree_gpw,200,5,25,0.668,gini
class,f2f,12,gpw_tree,gpw_gpw,200,6,31,0.857,gini
class,f2f,12,gpw_tree,mdd_tree,200,6,2,0.857,entropy
class,f2f,12,gpw_tree,swc_swc,200,6,2,0.857,entropy
class,f2f,12,tree_gpw,gpw_gpw,200,8,19,0.81,entropy
class,f2f,12,tree_gpw,mdd_tree,200,7,39,0.384,entropy
class,f2f,12,tree_gpw,swc_swc,200,6,2,0.857,entropy
class,f2f,12,gpw_gpw,mdd_tree,200,6,18,0.337,gini
class,f2f,12,gpw_gpw,swc_swc,200,6,2,0.857,entropy
class,f2f,12,mdd_tree,swc_swc,200,6,39,0.289,gini
instance,f2f,12,swc_gpw,gpw_tree,200,8,8,0.1,entropy
instance,f2f,12,swc_gpw,tree_gpw,200,8,8,0.1,entropy
instance,f2f,12,swc_gpw,gpw_gpw,200,9,35,0.195,gini
instance,f2f,12,swc_gpw,ggt_mdd,200,6,2,0.857,entropy
instance,f2f,12,gpw_tree,tree_gpw,200,6,2,0.762,gini
instance,f2f,12,gpw_tree,gpw_gpw,200,5,14,0.147,gini
instance,f2f,12,gpw_tree,ggt_mdd,200,6,2,0.762,gini
